id,trigger,conditions,script,text,options,notes
"#RULESET_NAME hegemonylessSoE",,,,,,
,,,,,,
# Missions,,,,,,
,,,,,,
# No Hegemony Sword of Eventide,,,,,,
,,,,,,
# step1: meet Caspian Sang at a bar on somewhere,,,,,,
pfsoeMeetCaspianStart0,DialogOptionSelected,"!$global.didEventideRaoBall
$faction.id == hegemony
$option == marketVisitBar
$player.metDaud
RepGTE hegemony FRIENDLY
RollProbability 0.2","FireBest BarShuttleDownPrintDesc
FireBest BarPrintDesc
BarCMD playAmbience",,"pfsoe_meetCaspianStart:Continue",
pfsoeMeetCaspianStart1,DialogOptionSelected,"$option == pfsoe_meetCaspianStart","SaveCurrentVisual
BeginConversation caspian
$player.metCaspianSang = true","A pack of young officers relax, downing a higher tier of drinks amid rolls of laughter at one or another bon mot.

One of them glances at you, his head turning just a degree as recognition crosses his face. He calls out, lifting a drink.

""Ah, you there! $playerName, is it not?""

He puts on an glowing smile, hardly bothering to mask the underlying sneer, and approaches. His friends examine you, elbowing one another as if this is the set-up to some jape.","pfsoe_meetCaspian1greet2:""The one and only.""
pfsoe_meetCaspian1greet1:""Do you know me?""
pfsoe_meetCaspian1greet3:""Do I know you?""",
pfsoeMeetCaspian1greet1,DialogOptionSelected,"$option == pfsoe_meetCaspian1greet1","$option = pfsoe_meetCaspian1 0
FireBest DialogOptionSelected","""Of course, captain. You're all the talk amongst the officer corps,"" his arm makes a languid motion that doesn't quite encompass his drinking-cadre, who find this hilarious.",,
pfsoeMeetCaspian1greet2,DialogOptionSelected,"$option == pfsoe_meetCaspian1greet2","$option = pfsoe_meetCaspian1 0
FireBest DialogOptionSelected","He bows, theatrically, in faux respect. ""A pleasure to make your aquaintance, dear captain. You're all the talk amongst the officer corps,"" while rising his arm makes a languid motion that doesn't quite encompass his drinking-cadre, who find this hilarious.",,
pfsoeMeetCaspian1greet3,DialogOptionSelected,"$option == pfsoe_meetCaspian1greet3","$option = pfsoe_meetCaspian1 0
FireBest DialogOptionSelected","""Not yet, dear captain. See, you're all the talk amongst the officer corps,"" his arm makes a languid motion that doesn't quite encompass his drinking-cadre, who find this hilarious.",,
pfsoeMeetCaspian1,DialogOptionSelected,"$option == pfsoe_meetCaspian1",,"""One hears you've won not a few... encounters with pirate scum and the like. And in service to the Hegemony, hear, hear!"" He raises his glass in a partial salute.

Then he looks to each side, performatively checking for snoops, before leaning in to speak more quietly, ""One even hears that old man Daud himself invited you for a personal meeting. Didn't get any of that mozzie hive-dirt on you did he? Ha-ha.""","pfsoe_meetCaspianPrivate:""I have no comment on such speculation.""
pfsoe_meetCaspianDontKnow:""I don't know what you're talking about.""
pfsoe_meetCaspianWhat:""What do you mean by that?""
pfsoe_meetCaspianInsulting:""Are you insulting the Hegemon?""",
pfsoeMeetCaspian1a,DialogOptionSelected,"$option == pfsoe_meetCaspianPrivate","$option = pfsoe_meetCaspian2
FireBest DialogOptionSelected",,,
pfsoeMeetCaspian1b,DialogOptionSelected,"$option == pfsoe_meetCaspianDontKnow","$option = pfsoe_meetCaspian2
FireBest DialogOptionSelected",,,
pfsoeMeetCaspian1c,DialogOptionSelected,"$option == pfsoe_meetCaspianWhat","$option = pfsoe_meetCaspian2
FireBest DialogOptionSelected",,,
pfsoeMeetCaspian1d,DialogOptionSelected,"$option == pfsoe_meetCaspianInsulting","$option = pfsoe_meetCaspian2
FireBest DialogOptionSelected",,,
pfsoeMeetCaspian2,DialogOptionSelected,"$option == pfsoe_meetCaspian2",,"""Come now,"" he says with a wounded look. ""It's a grand old tradition amongst us,"" he pauses just enough to make the jab clear, "" to grumble about the top brass. I'm simply having a bit of a laugh with a new friend of mine. And-"" he speaks louder now, ""And a new friend of the Hegemony, from bottom to top!""

His entourage cheers to this.","pfsoe_meetCaspian3:Continue",
pfsoeMeetCaspian3,DialogOptionSelected,"$option == pfsoe_meetCaspian3",,"""We are all but comrades-in-arms, you and I. But where are my manners? Caspian Sang, reporting for duty."" He half-salutes with his drink again, the liquid coming dangerously close to spilling on you with the return. You catch one of Sang's drinking companions snickering, though it is unclear who the target is.

""Although..."" He puts a finger on his chin, pantomiming deep thought, ""...perhaps I should count you as, at best, an auxiliary comrade. Do your bounties pay splendidly well? No need to answer of course, friend. It is the business,"" this word he emphasizes, ""of none but yourself.""

""And old man Daud, of course,"" he adds with a wink.","pfsoe_meetCaspianPleasure:""The pleasure is mine, I'm sure.""
pfsoe_meetCaspianPay:""The pay is irrelevant. I stand for the Hegemony.""
pfsoe_meetCaspianBattles:""I win battles for you lot. The pay is so you feel like you're helping.""
pfsoe_meetCaspianBetter:""Daud deserves better than you.""
",
pfsoeMeetCaspianPleasure,DialogOptionSelected,"$option == pfsoe_meetCaspianPleasure",,"""Hardly, my good captain!"" He nods reassuringly to his drinking-partners, putting on a show for them. ""Surely it is mine.""","pfsoe_meetCaspian4:Continue",
pfsoeMeetCaspianPay,DialogOptionSelected,"$option == pfsoe_meetCaspianPay",,"Sang stands up straight, as if at attention. ""Then the recruiter is down the hall, you might even make an officer!"" the latter is packed with the theatrics of a holo-vid from the navy itself, earning a mix of cheers and laughter from his drinking companions.","pfsoe_meetCaspian4:Continue",
pfsoeMeetCaspianBattles,DialogOptionSelected,"$option == pfsoe_meetCaspianBattles",,"Sang's face is overcome with shock and delight; he's found one that fights back. He clutches his chest as if stabbed, his drinking companions hooting and calling at your riposte.

""Where did you come from, captain?"" he says, flicking spilled drink from his off-hand, ""Ludd curse me but the Hegemony can use such talent.""","pfsoe_meetCaspian4:Continue",
pfsoeMeetCaspianBetter,DialogOptionSelected,"$option == pfsoe_meetCaspianBetter",,"""And in you, it seems he found it."" Sang speaks lightly, his drinking-partners hooting and calling behind him, but you sense a blade's edge in his words.","pfsoe_meetCaspian4:Continue",
pfsoeMeetCaspian4,DialogOptionSelected,"$option == pfsoe_meetCaspian4",,"""I tell you what, I have just the notion."" He decisively quaffs his drink, then proceeds.

""A most spectacular notion. In light of Daud's declaration that you're as much an officer as us, it would only be proper to provide you an opportunity to share an anecdote or two of your wisdom with the cream of the navy, don't you think?""

""House Rao - surely you know the family - is holding the grand ball of this season on Eventide. I shall place your name upon the guest list by invitation of the humble House Sang. Now does that not sound absolutely first-rate? You'll be the talk of the season, I'm sure of it.""","pfsoe_meetCaspianAccept:""I wouldn't miss it for the world.""
pfsoe_meetCaspianMaybe:""I'll think about it.""
pfsoe_meetCaspianDecline:""I must decline your generous invitation.""
",
pfsoeMeetCaspian4accept,DialogOptionSelected,"$option == pfsoe_meetCaspianAccept","$option = pfsoe_meetCaspian5
FireBest DialogOptionSelected","""Most excellent, mercenary-captain,"" Sang says with a smirk.",,
